"Credit Card Type","Jenis kartu kredit"
"Set root category for this store in","Set root category for this store in"
"Groups","Kelompok Pelanggan"
"View","Lihat"
"Qty Ordered","Kuantitas Dipesan"
"Global Record Search","Pencari Global"
"Card Number","Card Number"
"PO Number","PO Number"
"Grand Total","Total keseluruhan"
"Please select one or more attributes.","Tolong pilih satu atau beberapa atribut."
"Dashboard","Dashboard"
"Are you sure you want to do this?","Apakah anda ingin melakukan ini?"
"Please add one or more options","Please add one or more options"
"Role Users","Role Users"
"Add New Tax Rule","Tambah Aturan Pajak Baru"
"Subscribe to newsletter","Subscribe to newsletter"
"Dashboard Control","Dashboard Control"
"Default Shipping","Standar pengiriman"
"Qty","Kuantitas"
"Add to Queue","Tambah ke Antrian"
"Average Sale","Rata-rata penjualan"
"Cancel","Batal"
"All stores","All stores"
"Personal Information","Informasi Personal"
"City","Kota"
"Export Tax Rates","Biaya Ekspor Pajak"
"1 star","1 bintang"
"Current Configuration Scope","Current Configuration Scope"
"Add New Template","Tambah Template Baru"
"Move to:","Move to:"
"First Name","Nama awal"
"Change Order Status","Change Order Status"
"Are you sure you want to delete this address?","Apakah Anda yakin ingin menghapus alamat ini?"
"Are you sure you want to do it?","Are you sure you want to do it?"
"Add to Order","Add to Order"
"Product ID","ID produk"
"Payment Method","Metode pembayaran"
"What is this?","Apa ini?"
"Users","Pengguna"
"Customer Addresses","Alamat Pelanggan"
"Qty Backordered","Qty Backordered"
"You can not remove system attribute from this set.","You can not remove system attribute from this set."
"Price","Harga"
"Who","Who"
"Rating Not Alvailable","Rating Not Alvailable"
"Order Comment","Komentar pesanan"
"Edit Role","Edit Role"
"Tax Rates Import / Export","Tax Rates Import / Export"
"Magento Logo","Logo Magento"
"A name is required","Sebuah nama diperlukan"
"Assigned options","Assigned options"
"Please Enter New Group Name","Please Enter New Group Name"
"Name","Nama"
"Email Preview","Tinjauan Email"
"Newsletter Queue","Antrian Buletin"
"Remove","Hapus"
"Last Log In:","Last Log In:"
"Logged in as <strong>%s</strong>","Logged in as <strong>%s</strong>"
"Name on Card","Nama pada kartu"
"All Stores","All Stores"
"Send comment to customer","Send comment to customer"
"Account Created on:","Akun Dibuat pada:"
"Backups Control","Backups Control"
"Add New Address","Tambah Alamat Baru"
"Account Created in:","Akun dibuat di:"
"Default Billing","Standar tagihan"
"Manage Titles (Size, Color, etc.)","Kelola Judul (Ukuran, Warna, dll.)"
"Please confirm site switching. All data not saved will be lost.","Please confirm site switching. All data not saved will be lost."
"Please select from each ratings above","Please select from each ratings above"
"Qty Shipped","Kuantitas Dikirim"
"Are you sure you want to cancel add this address?","Are you sure you want to cancel add this address?"
"The information in this tab has been changed.","Informasi pada tab ini telah berubah."
"2 stars","2 bintang"
"Apply","Terapkan"
"Total","Total"
"User roles","User roles"
"Wishlist Report","Laporan daftar keinginan"
